method_name,degradation_type,severity,parameter,parameter_value,num_samples,top1_accuracy,top5_accuracy,overall_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,inference_time_seconds,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop
sift_bovw_svm,blur,3,radius,3.0,5000,0.0158,0.053,0.0158,0.0158,0.013082564989809477,0.0158,0.011141733713041333,175.09740125000826,0.0318,0.025116982298457366,0.016,0.013975248585416033
sift_bovw_svm,blur,4,radius,4.0,5000,0.0114,0.0448,0.0114,0.011400000000000002,0.00917016868382121,0.011400000000000002,0.008372081700959258,134.2188070419943,0.0318,0.025116982298457366,0.0204,0.016744900597498107
sift_bovw_svm,blur,5,radius,5.0,5000,0.0126,0.0414,0.0126,0.012600000000000002,0.008633636420462618,0.012600000000000002,0.00819574753934828,89.50447404099395,0.0318,0.025116982298457366,0.019200000000000002,0.01692123475910909
hog_random_forest,brightness,1,factor,0.9,5000,0.0116,0.0482,0.0116,0.0116,0.010689797532134363,0.0116,0.007920988879033255,22.019185457989806,0.0132,0.008393324228811136,0.0016000000000000007,0.0004723353497778811
hog_random_forest,brightness,2,factor,0.8,5000,0.0134,0.0484,0.0134,0.0134,0.008709643176483496,0.0134,0.008022966474346012,28.629324500012444,0.0132,0.008393324228811136,-0.00020000000000000052,0.00037035775446512403
hog_random_forest,brightness,3,factor,0.7,5000,0.013,0.0472,0.013,0.013,0.009422678423142202,0.013,0.007838244857875008,28.651953624997986,0.0132,0.008393324228811136,0.00020000000000000052,0.0005550793709361273
hog_random_forest,brightness,4,factor,0.6,5000,0.0134,0.047,0.0134,0.0134,0.009283015635390605,0.0134,0.008297664117911517,29.06799504198716,0.0132,0.008393324228811136,-0.00020000000000000052,9.56601108996185e-05
hog_random_forest,brightness,5,factor,0.5,5000,0.0124,0.048,0.0124,0.0124,0.0070149327070862435,0.0124,0.0067831763446278915,30.287043208023533,0.0132,0.008393324228811136,0.0008000000000000004,0.0016101478841832441
resnet18_pretrained_finetuned,brightness,1,factor,0.9,5000,0.6588,0.8564,0.6588,0.6587999999999999,0.6840176473337464,0.6587999999999999,0.6593494511004199,98.3545436669956,0.6624,0.6620301298160315,0.0035999999999999366,0.0026806787156116174
resnet18_pretrained_finetuned,brightness,2,factor,0.8,5000,0.6498,0.8558,0.6498,0.6498,0.6770465207822792,0.6498,0.6503433355147333,99.0858362079889,0.6624,0.6620301298160315,0.012599999999999945,0.011686794301298153
resnet18_pretrained_finetuned,brightness,3,factor,0.7,5000,0.6428,0.8496,0.6428,0.6427999999999999,0.6723453546453546,0.6427999999999999,0.643187033381713,89.4681700420042,0.6624,0.6620301298160315,0.01959999999999995,0.018843096434318474
resnet18_pretrained_finetuned,brightness,4,factor,0.6,5000,0.6234,0.8384,0.6234,0.6234,0.6611241068251331,0.6234,0.6256781881371863,94.23023700001067,0.6624,0.6620301298160315,0.039000000000000035,0.036351941678845145
resnet18_pretrained_finetuned,brightness,5,factor,0.5,5000,0.5992,0.8154,0.5992,0.5992,0.6470077051855885,0.5992,0.6029681103829093,68.11593387497123,0.6624,0.6620301298160315,0.06320000000000003,0.05906201943312217
resnet18_scratch_basic_aug_sgd,brightness,1,factor,0.9,5000,0.3674,0.6058,0.3674,0.36740000000000006,0.3872622388726871,0.36740000000000006,0.3650918924899095,28.38078783400124,0.3794,0.37511498506033875,0.01200000000000001,0.01002309257042927
resnet18_scratch_basic_aug_sgd,brightness,2,factor,0.8,5000,0.333,0.573,0.333,0.333,0.37296996117628384,0.333,0.3329591549578379,28.9699766249978,0.3794,0.37511498506033875,0.0464,0.042155830102500846
